DATE,GDP
1947-01-01,243.1640000000000000
1947-04-01,245.9680000000000000
1947-07-01,249.5850000000000000
1947-10-01,259.7450000000000000
1948-01-01,265.7420000000000000
1948-04-01,272.5670000000000000
1948-07-01,279.1960000000000000
1948-10-01,280.3660000000000000
1949-01-01,275.0340000000000000
1949-04-01,271.3510000000000000
1949-07-01,272.8890000000000000
1949-10-01,270.6270000000000000
1950-01-01,280.8280000000000000
1950-04-01,290.3830000000000000
1950-07-01,308.1530000000000000
1950-10-01,319.9450000000000000
1951-01-01,336.0000000000000000
1951-04-01,344.0900000000000000
1951-07-01,351.3850000000000000
1951-10-01,356.1780000000000000
1952-01-01,359.8200000000000000
1952-04-01,361.0300000000000000
1952-07-01,367.7010000000000000
1952-10-01,380.8120000000000000
1953-01-01,387.9800000000000000
1953-04-01,391.7490000000000000
1953-07-01,391.1710000000000000
1953-10-01,385.9700000000000000
1954-01-01,385.3450000000000000
1954-04-01,386.1210000000000000
1954-07-01,390.9960000000000000
1954-10-01,399.7340000000000000
1955-01-01,413.0730000000000000
1955-04-01,421.5320000000000000
1955-07-01,430.2210000000000000
1955-10-01,437.0920000000000000
1956-01-01,439.7460000000000000
1956-04-01,446.0100000000000000
1956-07-01,451.1910000000000000
1956-10-01,460.4630000000000000
1957-01-01,469.7790000000000000
1957-04-01,472.0250000000000000
1957-07-01,479.4900000000000000
1957-10-01,474.8640000000000000
1958-01-01,467.5400000000000000
1958-04-01,471.9780000000000000
1958-07-01,485.8410000000000000
1958-10-01,499.5550000000000000
1959-01-01,510.3300000000000000
1959-04-01,522.6530000000000000
1959-07-01,525.0340000000000000
1959-10-01,528.6000000000000000
1960-01-01,542.6480000000000000
1960-04-01,541.0800000000000000
1960-07-01,545.6040000000000000
1960-10-01,540.1970000000000000
1961-01-01,545.0180000000000000
1961-04-01,555.5450000000000000
1961-07-01,567.6640000000000000
1961-10-01,580.6120000000000000
1962-01-01,594.0130000000000000
1962-04-01,600.3660000000000000
1962-07-01,609.0270000000000000
1962-10-01,612.2800000000000000
1963-01-01,621.6720000000000000
1963-04-01,629.7520000000000000
1963-07-01,644.4440000000000000
1963-10-01,653.9380000000000000
1964-01-01,669.8220000000000000
1964-04-01,678.6740000000000000
1964-07-01,692.0310000000000000
1964-10-01,697.3190000000000000
1965-01-01,717.7900000000000000
1965-04-01,730.1910000000000000
1965-07-01,749.3230000000000000
1965-10-01,771.8570000000000000
1966-01-01,795.7340000000000000
1966-04-01,804.9810000000000000
1966-07-01,819.6380000000000000
1966-10-01,833.3020000000000000
1967-01-01,844.1700000000000000
1967-04-01,848.9830000000000000
1967-07-01,865.2330000000000000
1967-10-01,881.4390000000000000
1968-01-01,909.3870000000000000
1968-04-01,934.3440000000000000
1968-07-01,950.8250000000000000
1968-10-01,968.0300000000000000
1969-01-01,993.3370000000000000
1969-04-01,1009.0200000000000000
1969-07-01,1029.9560000000000000
1969-10-01,1038.1470000000000000
1970-01-01,1051.2000000000000000
1970-04-01,1067.3750000000000000
1970-07-01,1086.0590000000000000
1970-10-01,1088.6080000000000000
1971-01-01,1135.1560000000000000
1971-04-01,1156.2710000000000000
1971-07-01,1177.6750000000000000
1971-10-01,1190.2970000000000000
1972-01-01,1230.6090000000000000
1972-04-01,1266.3690000000000000
1972-07-01,1290.5660000000000000
1972-10-01,1328.9040000000000000
1973-01-01,1377.4900000000000000
1973-04-01,1413.8870000000000000
1973-07-01,1433.8380000000000000
1973-10-01,1476.2890000000000000
1974-01-01,1491.2090000000000000
1974-04-01,1530.0560000000000000
1974-07-01,1560.0260000000000000
